id,title,content,rating,published_date,author,source,url,tags,scraped_at
11,"The Surprising Link Between Coffee and Gut Health, According to Science","An experiment conducted in the U.S. and U.K. reveals that regular coffee consumption can aid your digestive system. BY BHAVI PATEL BARISTA MAGAZINE ONLINE Featured photo by Nathan Dumlao A groundbreaking study involving over 22,000 participants across the United States and the United Kingdom has revealed a remarkable connection between coffee consumption and gut health. The research, published in Nature Microbiology , demonstrates that coffee consumption is strongly associated with the abundance...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/the-surprising-link-between-coffee-and-gut-health-according-to-science/,barista | coffee industry,2025-09-24 08:13:42
12,Coffee With a Boost: Protein and Functional Mushrooms Find a Place on Café Menus,"Todays coffee drinkers are looking for more than caffeine, and cafés are stepping up to deliver. BY EMILY JOY MENESES ONLINE EDITOR Featured photo courtesy of Nature Zen When I first started working in coffee around ten years ago, the only add-ons you could get in your latte were your typical run-of-the-mill syrups: vanilla, chocolate, and perhaps lavender (if the café was feeling fancy). Nowadays, though, it seems like theres an endless array of things you can add to your daily brewmany of whic...",,,Emily Joy Meneses,Barista Magazine,https://www.baristamagazine.com/coffee-with-a-boost-protein-functional-mushrooms-find-a-place-on-cafe-menus/,barista | coffee industry,2025-09-24 08:13:42
13,Unpacking the Colonial History of Latin American Coffee Production,"Today, Latin America produces roughly 60 of the worlds coffeebut the history of colonization still impacts modern-day coffee farmers. BY ELLIE PEÑA BARISTA MAGAZINE ONLINE Featured photo by Ellie Peña The more a product is desired by the world market, the greater the misery it brings to the Latin American peoples whose sacrifice creates it. -Eduardo Galeano, author of Open Veins of Latin America. Eduardo Galeano said it best: In Latin America, profit rarely stays with the people who produce the ...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/unpacking-the-colonial-history-of-latin-american-coffee-production-part-one/,barista | coffee industry,2025-09-24 08:13:42
14,Develop Your Latte Art Skills with New Card Game Throw It Down,"We learn more about the interactive card game and speak to the creator, Amsterdam-based artist Doedelz. BY EMILY JOY MENESES FOR BARISTA MAGAZINE Photos courtesy of Naomi Doedelz One of the hottest new products at the Amsterdam Coffee Festival in April wasnt an espresso machine. It wasnt even a grinder. It was, in fact, a deck of cards. These werent just any cards, thoughthese were cards for coffee geeks. Specifically, they were developed for latte art fanatics. Throw It Down, an interactive car...",,,Emily Joy Meneses,Barista Magazine,https://www.baristamagazine.com/throw-it-down-latte-art-cards-make-waves-at-amsterdam-coffee-fest/,barista | coffee industry,2025-09-24 08:13:42
15,A Closer Look at Classic Coffee Cocktails: Irish Coffee,"With a history dating back to the 1940s, Irish coffee is a longstanding industry favorite. Today, we explore the lore behind the iconic beverage. BY TAYLOR MURPHY-DYER BARISTA MAGAZINE ONLINE Featured photo courtesy of Anna Kumpan Consumed year-round by people around the world, Irish coffee is an integral facet of both the coffee and cocktail worlds. Typically made with coffee, Irish whiskey, sugar, and a layer of whipped cream, the beverage strikes an ideal balance between smoky and sweetand, i...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/a-closer-look-at-classic-coffee-cocktails-irish-coffee/,barista | coffee industry,2025-09-24 08:13:42
16,Sumatra Pantan Musara,"Blind Assessment: Intriguingly sweet-savory. Notes of dark chocolate, blackberry, cedar, green peppercorn and myrrh. Balanced, gentle acidity; syrupy, weighty mouthfeel. Chocolaty, spice-toned finish. Notes: Produced by smallholding farmers surrounding the Asman Gayo mill, from trees of the Ateng, Bor Bor, Catimor and Timor varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visi...",93,,,Coffee Review,https://www.coffeereview.com/review/sumatra-pantan-musara-7/,coffee review | rating,2025-09-24 08:27:28
17,Hawaii Kona Geisha Washed Auction Lot,"Blind Assessment: Elegant, richly floral, sweetly citrusy. Honeysuckle and jasmine aromatics weave through notes of Meyer lemon, peach, cocoa nib, and sandalwood. Brightly sweet, delicate acidity; viscous satiny mouthfeel. The finish is long and graceful, carrying florals and citrus zest into a softly cocoa-toned long. Notes: Produced at Hala Tree Farm, entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Euphora is a Taipei-b...",95,,,Coffee Review,https://www.coffeereview.com/review/hawaii-kona-geisha-washed-auction-lot/,coffee review | rating,2025-09-24 08:27:28
18,Kenya Euphora SP Peaberry,"Blind Assessment: Bright, layered, quite juicy. Blackcurrant and pink grapefruit zest up front, supported by tea rose, salted caramel, and a hint of sweet tomato vine. Juicy, citrus-toned acidity; syrupy, buoyant mouthfeel. The finish is crisp, with lingering notes of sweet citrus and blackcurrant. Notes: Produced by smallholding farmers, from trees of the SL28 and SL34 varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). This coffee consists enti...",94,,,Coffee Review,https://www.coffeereview.com/review/kenya-euphora-sp-peaberry/,coffee review | rating,2025-09-24 08:27:28
19,Ethiopia West Arsi Natural,"Blind Assessment: Lush, fruit-forward, and floral. Notes of ripe blueberry, freesia, and honeydew melon lead, supported by cocoa nib and cedar. Briskly sweet acidity; plush, syrupy mouthfeel. The resonant finish carries complex berry and floral notes well into the long. Notes: Produced by smallholding farmers, from local landrace varieties of Arabica, and processed by the natural method (dried in the whole fruit). Dawn Isle Cafe Studio is a specialty coffee roaster in Taipei. Visit Dawn Isles In...",93,,,Coffee Review,https://www.coffeereview.com/review/ethiopia-west-arsi-natural/,coffee review | rating,2025-09-24 08:27:28
20,Warm Islet Classic Espresso,"Blind Assessment: Evaluated as espresso. A balanced, chocolaty shot with gentle spice and nut tones. Dark chocolate and hazelnut up front, layered with hints of cinnamon, cedar, and a touch of grapefruit zest. Full, rounded mouthfeel with a crisp, sweet finish. In cappuccino-scaled milk, flavors deepen toward milk chocolate and roasted hazelnut, with pleasing sweetness and balance. Notes: A blend of coffees from India, Brazil and Ethiopia, roasted for espresso applications. Dawn Isle Cafe Studio...",92,,,Coffee Review,https://www.coffeereview.com/review/warm-islet-classic-espresso/,coffee review | rating,2025-09-24 08:27:28
21,Who Is On Your Specialty Coffee Mount Rushmore?,"Weve been having a spirited debate here at the Sprudge offices over the past week. Not heated, but spirited. The question at the center doesnt require much in the way of an introduction. Its simply this: Who is on your specialty coffee Mount Rushmore? This is a roundabout way of asking, who are the four most influential figures of third wave coffee? Very little in the way of consensus has emerged from within Sprudges editorial mindsphere over the last week. In fact, the question itself raises qu...",,,,Sprudge,https://sprudge.com/who-is-on-your-specialty-coffee-mount-rushmore-427278.html,coffee news | coffee culture,2025-09-24 08:27:28
22,Tea At The Top Of The World: A Visit To Indias Historic Wah Tea Estate,"The arrival of the first flush is a highly anticipated moment at any tea estate. As I planned my visit to the Wah Tea Estate , I hoped to witness this moment first handto see the tender two leaves and a bud being plucked. Nestled in the picturesque Kangra Valley, at the foothills of the snow-capped Dhauladhar mountains in Himachal Pradesh, India, the estate promised a breathtaking backdrop to this seasonal ritual. But to my luck, or perhaps misfortune, I arrived just a little too early. The firs...",,,,Sprudge,https://sprudge.com/tea-at-the-top-of-the-world-a-visit-to-indias-historic-wah-tea-estate-343458.html,coffee news | coffee culture,2025-09-24 08:27:28
23,A Friends-Themed Central Perk Is Getting A Permanent Location In Times Square,"The world is two things right now. It is a shitty and terrifying place that only seems to be getting worse. And it is also deeply in love with 90s nostalgia. And so, to use one to temporarily allay the reality of the other, we bring you news today of Central Perk , the fictional coffee shop from the era-defining multi-cam sitcom Friends, which is now a permanent brick-and-mortar in New York City. The Central Perk has already seeped into the real world on various occasions, mostly as temporary ca...",,,,Sprudge,https://sprudge.com/a-friends-themed-central-perk-is-getting-a-permanent-location-in-times-square-426961.html,coffee news | coffee culture,2025-09-24 08:27:28
24,The Price Of Arabica Coffee Futures Is Spiking,"Since February, when the price of Arabica coffee futures on the commodities market reached an all-time high (not including inflation), there has been a bit of a downward trend. As recently as July, the price has dipped back down to 2.76. Then August hit, and coffee futures are once again nearing their peak price. Prices reached 4.17 on Monday , just .08 shy of the all-time high in February. The uptick, as anyone paying remote attention to global affairs can attest, is due primarily to the Americ...",,,,Sprudge,https://sprudge.com/the-price-of-arabica-coffee-futures-is-spiking-426338.html,coffee news | coffee culture,2025-09-24 08:27:28
25,"Build-Outs Of Coffee: Scenery In London, England","Its always exciting to check in on the London coffee scene, which has long been one of the worlds best. Todays Build-Outs of Coffee feature takes us south of the river, but not far south, where a multi-disciplinary rehearsal space complex called Jerwood Space is home to a lovely new coffee bar. This is Scenery , honorees at the 16th Annual Sprudgie Awards for Best DesignPackaging and one to watch in London for many years to come. The 2025 Build-Outs of Coffee is sponsored by Pacific Barista Seri...",,,,Sprudge,https://sprudge.com/build-outs-of-coffee-scenery-in-london-england-424067.html,coffee news | coffee culture,2025-09-24 08:27:28
26,"Little Waves Launches Curious, a New Collaborative Coffee Menu","In the face of an increasingly divisive world, this series of drinks brings together coffee professionals from every continentand each beverage tells a powerful story of its own. BY CAROLINE CORMIER FOR BARISTA MAGAZINE Photos by Laura Vied Allen for Little Waves Coffee In a world too often defined by division, Durham, N.C.-based roastery Little Waves Coffee and its local retail shops, Cocoa Cinnamon , have launched Curious a menu that extends beyond the basics. The aim is to invite customers to...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/little-waves-launches-curious-a-collaborative-coffee-menu/,barista | coffee industry,2025-09-24 08:27:28
27,Summer Café Drinks Are Here: Highlights Across the United States,"We asked our readers what theyre sipping on this summerheres what they said. BY EMILY JOY MENESES ONLINE EDITOR Featured photo by Joel Lee While you can never go wrong with cold brew or an iced latte, why stop there when it comes to summer drinks? This season, cafés are embracing bold flavors that go way beyond the usual suspects. We asked our readers what theyre serving up and sipping on over the next few weeksread on for a quick round-up of some of our favorite summer specials across the Unite...",,,Emily Joy Meneses,Barista Magazine,https://www.baristamagazine.com/summer-cafe-drinks-are-here-our-faves-across-the-u-s/,barista | coffee industry,2025-09-24 08:27:28
28,SANA Mental Health Initiative Ushers in a New Era for Women Coffee Producers,"Launched by Colombian photographer Lucia Bawot, the bold program seeks to bolster the mental and emotional well-being of women at origin. BY VASILEIA FANARIOTI SENIOR ONLINE CORRESPONDENT Photos courtesy of Lucia Bawot In the heart of Colombia s coffee-growing regions, a quiet but powerful movement is reshaping the conversation around sustainability in coffee. Its not about new equipment or climate-resilient varietals, but something far more human: emotional well-being. Meet SANA , a pioneering ...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/sana-mental-health-initiative-ushers-in-new-chapter-for-women-coffee-producers/,barista | coffee industry,2025-09-24 08:27:28
29,The Ultimate Cost of Tariffs: Smallholder Coffee Farmers Are Paying the Price,"Coffee shops across the U.S. are being negatively impacted by tariffsbut communities at origin are feeling the effects even more. BY HANH NGUYEN BARISTA MAGAZINE ONLINE Featured photo courtesy of Hanh Nguyen The current uncertainty around tariffs has the coffee industry swirling like a shot of espresso gone wrong: bitter, muddy, and hard to swallow. Tariffs on coffee imports take something that is already rare and make it more expensive. There are real economic considerations. Coffee shops acros...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/the-ultimate-cost-of-tariffs/,barista | coffee industry,2025-09-24 08:27:28
30,Meet the Coffee Businesses Fighting for a More Equitable Industry,"In an effort to create more equality from farm to cup, these coffee shops and roasteries are putting farmers at the forefront of their work. BY JODEE FOK BARISTA MAGAZINE ONLINE Photos by Ariel Ngan Often dubbed the artistic capital of Thailand , Chiang Mai is renowned for its countless bustling artisan and handicraft markets. But scattered around the city is also a vast array of coffee shops offering uniquely homegrown specialty coffee. Upon walking thousands of steps around the old city (visit...",,,baristamagazine,Barista Magazine,https://www.baristamagazine.com/meet-the-coffee-businesses-fighting-for-a-more-equitable-industry/,barista | coffee industry,2025-09-24 08:27:28
31,Reviews  First Looks,"1Zpresso X-Ultra Manual Grinder August 10, 2025",,2025-08-10 00:00:00,,Coffeegeek,https://coffeegeek.com/reviews/firstlooks/1zpresso-x-ultra-versatile-manual-grinder-first-look-review/,coffee | specialty coffee,2025-09-24 08:27:28
32,Guides  How Tos,"1Zpresso X-Ultra Manual Grinder August 10, 2025",,2025-09-17 00:00:00,,Coffeegeek,https://coffeegeek.com/guides/,coffee | specialty coffee,2025-09-24 08:27:28
33,How to make French press coffee,"How to make French press coffee December 27, 2021 by Sarfraz Latif How to make French press coffee 5 2 votes Rating Jun 10, 2021 The French press has been extremely popular for almost a century because its easy to use and makes a super rich, full bodied coffee. Its a very gentle way of extracting flavor from coffee grounds with hot water, so all of our tips revolve around making sure enough coffee solubles get extracted for a sweet and balanced taste. Heres our French press brewing guide, along ...",,2025-08-01 06:45:35,,Driftaway.Coffee,https://driftaway.coffee/how-to-make-french-press-coffee/,coffee | specialty coffee,2025-09-24 08:27:28
34,HOW WE SET OUR MISSION: LEARNING AND EVOLVING,"Our mission hasnt always been this way. Over the years, our mission has evolved because weve never stopped learning new things about the complex world of coffee and adapting our business along the way. Were incredibly proud of how weve embraced change and learned from our experiences and new knowledge. This journey has deepened our love for coffee and strengthened our commitment to doing things right: sustainably, inclusively, and transparently. Early Days (2014-2016) We (Anu and Suyog) started ...",,2024-11-10 00:00:00,ByAnu,Driftaway.Coffee,https://driftaway.coffee/1705619-2/,coffee | specialty coffee,2025-09-24 08:27:28
35,Aeropress tips,"Aeropress tips May 6, 2021 by Anu The Aeropress Brewing Guide The Aeropress has become one of the most popular brew methods, favored by coffee enthusiasts throughout the world for a variety of reasons. Its small and affordable, and, most importantly, it makes great coffee. Its great to use when traveling or camping and makes a delicious, well-rounded, medium-bodied cup of coffee. THE RECIPE This makes a 7.6 ounce cup of coffee. 18g or 2.5 tbsp coffee, ground a bit coarser than table salt 250 ml ...",,2024-09-14 14:58:36,,Driftaway.Coffee,https://driftaway.coffee/aeropress-tips/,coffee | specialty coffee,2025-09-24 08:27:28
36,Iced Coffee  Flash Brew,"We use this recipe all summer long and it makes for a great summer of iced goodness. Brewing with hot water preserves a coffees acidity (aka the juiciness, brightness, fruit-like qualities) and complexity, and flash-cooling it preserves its sweetness. This method is especially great when you want iced coffee immediately, and cant wait for a cold brew to steep. Before we begin, its important to note that there are three different ways (at least, but these are the main ones!) of making cold coffee...",,2014-11-04 00:00:00,BySuyog,Driftaway.Coffee,https://driftaway.coffee/iced-coffee/,coffee | specialty coffee,2025-09-24 08:27:28
37,Brew Guide for the Kalita Wave Pourover Cone,"Brew Guide for the Kalita Wave Pourover Cone March 10, 2022 by James McCarthy What you need: Kalita Wave Filter 30g of coffee 525g of water (filtered is best) Carafe or large mug Kitchen scale Timer Kettle (preferably gooseneck) Grinder LETS GET STARTED! 1. Heat 525g of water between 200 F and 205 F (3 to 5 min off boil). You will use 500g to brew the coffee, and the rest will be used to rinse your filter. 2. Grind your coffee ( 30g ) to a medium, or coarse-sand setting 3. Rinse the filter with ...",,2024-07-03 14:01:59,,Driftaway.Coffee,https://driftaway.coffee/kalita-wave/,coffee | specialty coffee,2025-09-24 08:27:28
